date,Housing Inventory: Median Home Size in Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2019-10-01,1896.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2019-11-01,1892.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2019-12-01,1882.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-01-01,1873.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-02-01,1886.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-03-01,1905.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-04-01,1913.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-05-01,1942.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-06-01,1946.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-07-01,1944.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-08-01,1931.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-09-01,1910.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-10-01,1903.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-11-01,1882.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2020-12-01,1876.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-01-01,1830.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-02-01,1832.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-03-01,1836.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-04-01,1812.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-05-01,1822.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-06-01,1859.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-07-01,1877.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-08-01,1854.5,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-09-01,1854.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-10-01,1836.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2021-11-01,1850.0,LA,"New Orleans-Metairie, LA",New Orleans,"Housing Inventory: Median Home Size in Square Feet in New Orleans-Metairie, LA (CBSA)",MEDSQUFEE35380,Monthly,Not Seasonally Adjusted
2016-07-01,1940.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2016-08-01,1935.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2016-09-01,1927.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2016-10-01,1920.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2016-11-01,1900.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2016-12-01,1888.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-01-01,1878.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-02-01,1909.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-03-01,1925.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-04-01,1938.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-05-01,1956.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-06-01,1974.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-07-01,1988.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-08-01,1979.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-09-01,1978.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-10-01,1964.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-11-01,1938.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2017-12-01,1932.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-01-01,1926.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-02-01,1910.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-03-01,1900.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-04-01,1917.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-05-01,1923.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-06-01,1944.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-07-01,1959.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-08-01,1949.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-09-01,1932.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-10-01,1911.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-11-01,1888.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2018-12-01,1872.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-01-01,1847.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-02-01,1850.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-03-01,1886.714286,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-04-01,1930.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-05-01,1934.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-06-01,1964.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-07-01,1960.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-08-01,1951.857143,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-09-01,1932.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-10-01,1924.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-11-01,1872.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2019-12-01,1854.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-01-01,1845.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-02-01,1860.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-03-01,1881.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-04-01,1871.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-05-01,1860.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-06-01,1888.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-07-01,1812.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-08-01,1734.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-09-01,1690.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-10-01,1645.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-11-01,1635.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2020-12-01,1587.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-01-01,1536.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-02-01,1514.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-03-01,1510.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-04-01,1514.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-05-01,1532.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-06-01,1549.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-07-01,1568.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-08-01,1547.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-09-01,1528.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-10-01,1504.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2021-11-01,1493.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,"Housing Inventory: Median Home Size in Square Feet in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",MEDSQUFEE35620,Monthly,Not Seasonally Adjusted
2016-07-01,2154.0,WA,"Olympia-Lacey-Tumwater, WA",Olympia,"Housing Inventory: Median Home Size in Square Feet in Olympia-Tumwater, WA (CBSA)",MEDSQUFEE36500,Monthly,Not Seasonally Adjusted
2016-08-01,2140.0,WA,"Olympia-Lacey-Tumwater, WA",Olympia,"Housing Inventory: Median Home Size in Square Feet in Olympia-Tumwater, WA (CBSA)",MEDSQUFEE36500,Monthly,Not Seasonally Adjusted
2016-09-01,2112.0,WA,"Olympia-Lacey-Tumwater, WA",Olympia,"Housing Inventory: Median Home Size in Square Feet in Olympia-Tumwater, WA (CBSA)",MEDSQUFEE36500,Monthly,Not Seasonally Adjusted
